"dataset","country","model","obs","samples","test_size","strategy","true","pred","pred_median","std","skewness","kurtosis","mse","mse_median","smape","smape_median","r2","r2_median"
"ch4","brazil","arima","",NA,1,"ro",20843.7454,21050.3499090913,NA,NA,NA,NA,42685.4231768719,NA,0.986318036310482,NA,-Inf,NA
"ch4","brazil","arima","",NA,2,"ro",20576.6258,21147.8547428571,NA,NA,NA,NA,184493.96416728,NA,1.86220887911254,NA,-9.34262176083529,NA
"ch4","brazil","arima","",NA,3,"ro",20952.022,20870.7135824561,NA,NA,NA,NA,125199.662366016,NA,1.37108058741927,NA,-4.03036581442855,NA
"ch4","brazil","arima","",NA,4,"ro",21238.2352,21247.5116517241,NA,NA,NA,NA,93921.2599136592,NA,1.03922757444057,NA,-0.671073758141491,NA
"ch4","brazil","arima","",NA,5,"ro",21377.897,21533.5676237288,NA,NA,NA,NA,79983.6765493509,NA,0.976490715333669,NA,0.0137621545365606,NA
"ch4","brazil","arima","",NA,1,"sa",20843.7454,21050.3499090913,NA,NA,NA,NA,42685.4231768719,NA,0.986318036310482,NA,-Inf,NA
"ch4","brazil","arima","",NA,2,"sa",20576.6258,21358.1486181827,NA,NA,NA,NA,326731.669258523,NA,2.3568218827486,NA,-17.3163828024383,NA
"ch4","brazil","arima","",NA,3,"sa",20952.022,21665.947327274,NA,NA,NA,NA,387717.570480111,NA,2.68799754577168,NA,-14.578006963746,NA
"ch4","brazil","arima","",NA,4,"sa",21238.2352,21973.7460363653,NA,NA,NA,NA,426032.22546279,NA,2.86704781653165,NA,-6.58008647613925,NA
"ch4","brazil","arima","",NA,5,"sa",21377.897,22281.5447454567,NA,NA,NA,NA,504141.629944014,NA,3.12154416253594,NA,-5.2163128325019,NA
"ch4","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",30,1,"ro",20843.7454,21003.8244791667,20948.54296875,220.439703407319,0.0785165483270262,-1.19170577761756,25625.3115868477,10982.530415911,0.765057945438115,0.501516298056376,-Inf,-Inf
"ch4","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",30,2,"ro",20576.6258,21038.7362630208,21047.580078125,161.487673559352,-0.120222582624513,-0.73833615252103,119585.695810088,116390.231250075,1.49296137102675,1.38220142389557,-5.70390289109195,-5.52476705082998
"ch4","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",30,3,"ro",20952.022,20662.2180338542,20632.380859375,161.298035026895,0.103803107238571,-0.586496126751073,107719.243471344,111650.3070934,1.45957808986609,1.43390516245621,-3.32802445049916,-3.48596966924045
"ch4","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",30,4,"ro",21238.2352,20979.4265625,20973.38671875,120.57538456128,0.201041348243581,-0.846256151177082,97534.9103146593,101273.909825158,1.40120058740408,1.38914399247859,-0.73536885343472,-0.801894195720822
"ch4","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",30,5,"ro",21377.897,21346.8377604167,21316.27734375,166.955812475229,0.536662040974473,-0.775764996086309,78220.8635244265,81778.5242674001,1.15003893209044,1.16904640176206,0.0354985011845378,-0.008369195543247
"ch4","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",30,1,"sa",20843.7454,20951.453125,20948.54296875,196.495427114509,0.0125751734417973,-0.17912211294809,11600.9540246757,10982.530415911,0.515407170206761,0.501516298056376,-Inf,-Inf
"ch4","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",30,2,"sa",20576.6258,21070.7438151042,21035.830078125,315.629683556868,-0.119108782375341,-0.454345086780516,127876.783437578,110925.549732106,1.44413629302875,1.35428416890532,-6.16869632595645,-5.21842025927569
"ch4","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",30,3,"sa",20952.022,21192.9436848958,21166.7578125,436.969663802858,-0.0849287513414457,-0.516468351555187,104598.941709401,89320.8562114156,1.34385751058659,1.24274537095961,-3.20265462906872,-2.58880026599302
"ch4","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",30,4,"sa",21238.2352,21265.6818359375,21210.400390625,519.423926477815,-0.421675669027843,0.211346939167623,78637.5357381222,67184.3363117973,1.04018031710028,0.964845487652045,-0.399141392456752,-0.195362812125876
"ch4","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",30,5,"sa",21377.897,21326.7817057292,21254.04296875,623.69499429557,-0.499573552623479,0.968426115077039,63432.5832521766,56815.4332608131,0.880022187265033,0.88808412670673,0.217845228704799,0.299437924016374
"ch4","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",60,1,"ro",20843.7454,20890.3535807292,20861.2578125,199.214501770535,-0.00217706755440068,-1.089466075126,2172.32251088266,306.684591570164,0.223357790715396,0.083982309799949,-Inf,-Inf
"ch4","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",60,2,"ro",20576.6258,21000.4143229167,21003.3623046875,190.207390664449,-0.0706979517920553,-0.444449940923065,90884.5173333853,91205.3645122367,1.13096387010288,1.068293768583,-4.09493191789734,-4.11291841967191
"ch4","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",60,3,"ro",20952.022,20642.8236979167,20632.380859375,185.791822296757,0.0721058361059246,-0.445366988960784,92457.5415593295,94860.3959348417,1.24954741494307,1.22463339224783,-2.71482835941261,-2.81137204235235
"ch4","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",60,4,"ro",21238.2352,20968.8568033854,20928.087890625,155.963854531542,0.377269025662176,-0.46428060316109,87484.3363101579,95193.1353292691,1.25627564806637,1.28624164872052,-0.556546183374489,-0.693703327129438
"ch4","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",60,5,"ro",21377.897,21414.0720052083,21453.80078125,169.951295331262,-0.0250287921609216,-0.438149435041286,70249.1952484909,77306.7850650248,1.03883527953963,1.09987893423982,0.13379306933129,0.0467695355915214
"ch4","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",60,1,"sa",20843.7454,20966.0008789062,20948.54296875,199.947877070132,0.116138358775887,-0.260187265811159,14946.4021225962,10982.530415911,0.584818085671708,0.501516298056376,-Inf,-Inf
"ch4","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",60,2,"sa",20576.6258,21091.1102539062,21035.830078125,312.846992622889,-0.141642526126045,-0.760420889565714,139820.327716903,110925.549732106,1.52714004247704,1.35428416890532,-6.83824430560112,-5.21842025927569
"ch4","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",60,3,"sa",20952.022,21188.5794270833,21210.400390625,399.387093206732,0.0386905804322192,-0.962214109854912,111866.690580697,96203.4974020589,1.39232853164951,1.31140061894331,-3.49466368707352,-2.86533617914248
"ch4","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",60,4,"sa",21238.2352,21258.4080078125,21297.685546875,489.407986929704,0.0446785881398306,-0.964004587461816,84001.7534792828,73036.2089874336,1.06798098844796,1.05343298447639,-0.494583079551356,-0.299480994454677
"ch4","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",60,5,"sa",21377.897,21334.0556640625,21297.685546875,559.776101486512,0.187632115098929,-0.672102313225685,67585.8153307832,59715.7426324317,0.895442464971789,0.917928914298252,0.166633846162421,0.263675691155301
"ch4","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",90,1,"ro",20843.7454,20933.0264105903,20904.900390625,228.355352317455,0.463765436189238,-0.476420247177328,7971.09885202152,3739.93287834386,0.427419385083491,0.292967541662073,-Inf,-Inf
"ch4","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",90,2,"ro",20576.6258,21002.3794270833,20959.14453125,172.974357108755,0.16347991170948,-0.603147984215548,94618.6249133178,75030.2563177262,1.2376726872264,1.06742186394786,-4.30426376508175,-3.20615148693515
"ch4","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",90,3,"ro",20952.022,20644.3156467014,20677.13671875,189.50317359294,-0.468127918273234,-0.362089581921524,94640.1498956549,75207.4768277815,1.31827769746541,1.1518273013887,-2.80252283201623,-2.02174233759429
"ch4","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",90,4,"ro",21238.2352,20982.4464626736,20928.087890625,135.67580176821,0.35490910478006,-0.111086440250458,87337.0819574981,80453.445998974,1.29162704093189,1.23163708057617,-0.553926192067643,-0.431450584080021
"ch4","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",90,5,"ro",21377.897,21394.7167534722,21362.119140625,166.811370152409,0.313038783915705,-0.558722150319462,69926.2463873717,64412.5449684706,1.0490310932542,1.00007602236131,0.13777518671731,0.205761821522108
"ch4","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",90,1,"sa",20843.7454,20973.7596571181,20948.54296875,234.520005193993,0.151811378460217,-0.8079081537347,16903.7070539597,10982.530415911,0.621817379781362,0.501516298056376,-Inf,-Inf
"ch4","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",90,2,"sa",20576.6258,21077.5326388889,21035.830078125,306.088315966749,0.233564139050499,-0.702060672196247,133905.684149809,110925.549732106,1.51344610190867,1.35428416890532,-6.50667290953561,-5.21842025927569
"ch4","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",90,3,"sa",20952.022,21176.4563585069,21123.115234375,382.75610999239,0.685330217702422,-0.1594552165834,106060.716526014,83707.9981043701,1.36412264831324,1.17394769720047,-3.26138691258227,-2.36328264869804
"ch4","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",90,4,"sa",21238.2352,21269.5610460069,21210.400390625,458.491727536707,0.57327986462809,-0.38761963295194,79790.8645515231,62974.6927315132,1.05993916342762,0.913247232332688,-0.419661746595468,-0.120463636746325
"ch4","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",90,5,"sa",21377.897,21367.5148654514,21297.685546875,531.211741951289,0.504193123524538,-0.685528953224462,63854.2493847756,51666.5296276954,0.857666651377012,0.805780312583292,0.212645879086721,0.362926423729083
"ch4","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",200,1,"ro",20843.7454,20949.4166601563,20948.54296875,224.631155890696,0.274126578789121,-0.690172126823249,11166.4152230099,10982.530415911,0.505686839412386,0.501516298056376,-Inf,-Inf
"ch4","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",200,2,"ro",20576.6258,21008.668203125,20959.14453125,182.908775393693,0.10665167231356,-0.53168054878614,98913.5266605161,78651.5550865098,1.29177416068528,1.17169624214501,-4.5450333993173,-3.40915933934678
"ch4","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",200,3,"ro",20952.022,20665.4999804688,20677.13671875,188.512179673274,-0.105640235378594,-0.5421988214774,93307.3069990995,77621.6760069705,1.32015935528186,1.22134355352014,-2.74897087176225,-2.1187418405539
"ch4","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",200,4,"ro",21238.2352,20967.9508007813,20928.087890625,157.74304089321,0.176787737445807,-0.616374372286324,88243.8943645845,82264.0953833658,1.31031475894758,1.28377426967475,-0.570060456220745,-0.46366617269365
"ch4","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",200,5,"ro",21377.897,21376.7876074219,21362.119140625,182.312150921446,0.054351575423357,-0.630931888850108,70595.3616420461,65861.0644759841,1.04928972156516,1.04178577364017,0.129524668416497,0.187900867639594
"ch4","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",200,1,"sa",20843.7454,20975.1658984375,20948.54296875,219.145596712492,0.0415652403923117,-0.335963068706683,17271.3474095607,10982.530415911,0.628521854620398,0.501516298056376,-Inf,-Inf
"ch4","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",200,2,"sa",20576.6258,21076.8536816406,21035.830078125,309.116813660879,0.199045040275208,-0.563644061473002,133749.640490114,110925.549732106,1.51518792756502,1.35428416890532,-6.49792519490067,-5.21842025927569
"ch4","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",200,3,"sa",20952.022,21153.6652441406,21123.115234375,409.476010432008,0.283556222460285,-0.337849582307905,102719.759629261,83707.9981043701,1.3293905392776,1.17394769720047,-3.12715144386534,-2.36328264869804
"ch4","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",200,4,"sa",21238.2352,21231.34953125,21210.400390625,510.178419808099,0.215552346630173,-0.390722791451803,77051.6728304796,62974.6927315132,1.00514949273022,0.913247232332688,-0.370925268744105,-0.120463636746325
"ch4","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",200,5,"sa",21377.897,21308.1607714844,21297.685546875,617.671213507768,0.108198548059831,-0.417101310719166,62613.9665779004,51666.5296276954,0.869467609115843,0.805780312583292,0.227939172618473,0.362926423729083
"ch4","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",500,1,"ro",20843.7454,20948.8928984375,20948.54296875,213.73318594313,0.185819189044909,-0.41087489822015,11055.9964276644,10982.530415911,0.503186698512082,0.501516298056376,-Inf,-Inf
"ch4","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",500,2,"ro",20576.6258,21012.3824960937,20959.14453125,179.67477603236,0.0786761096722677,-0.4606802907681,100469.947309102,78651.5550865098,1.29936225249934,1.17169624214501,-4.63228541399284,-3.40915933934678
"ch4","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",500,3,"ro",20952.022,20654.4005390625,20677.13671875,193.120930893774,-0.136001175829441,-0.500731660654796,96506.1428762587,77621.6760069705,1.34312534599431,1.22134355352014,-2.87749609569925,-2.1187418405539
"ch4","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",500,4,"ro",21238.2352,20979.0036992187,20928.087890625,146.85253173192,-0.0292294332471685,-0.347794135838076,89179.8499065189,82264.0953833658,1.31436491794511,1.28377426967475,-0.586713243314438,-0.46366617269365
"ch4","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",500,5,"ro",21377.897,21369.2696054688,21362.119140625,169.917323902674,0.180241164826709,-0.483687642216537,71358.7663124947,65861.0644759841,1.0595648853527,1.04178577364017,0.120111515509787,0.187900867639594
"ch4","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",500,1,"sa",20843.7454,20964.429734375,20948.54296875,222.017946648802,0.193149736494409,-0.385203648411484,14564.708563537,10982.530415911,0.577324095046536,0.501516298056376,-Inf,-Inf
"ch4","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",500,2,"sa",20576.6258,21073.1877304688,21035.830078125,317.259336062638,0.234499792186477,-0.142804277648221,130569.229677194,110925.549732106,1.48089290854619,1.35428416890532,-6.31963325873589,-5.21842025927569
"ch4","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",500,3,"sa",20952.022,21158.553203125,21123.115234375,425.114181597717,0.183794460754199,-0.0195204623272818,101264.532406216,83707.9981043701,1.3142284268687,1.17394769720047,-3.06868223447058,-2.36328264869804
