"dataset","country","model","obs","samples","test_size","strategy","true","pred","pred_median","std","skewness","kurtosis","mse","mse_median","smape","smape_median","r2","r2_median"
"k2o","brazil","arima","",NA,1,"ro",100.03,87.7155739951709,NA,NA,NA,NA,151.64508782841,NA,13.1182064565163,NA,-Inf,NA
"k2o","brazil","arima","",NA,2,"ro",101.39,96.1635409019236,NA,NA,NA,NA,89.4804812661377,NA,9.20469443063052,NA,-192.513151527115,NA
"k2o","brazil","arima","",NA,3,"ro",108.14,100.957892479083,NA,NA,NA,NA,76.8478769914293,NA,8.42633380029523,NA,-5.11066644392825,NA
"k2o","brazil","arima","",NA,4,"ro",122.8,108.241653357035,NA,NA,NA,NA,110.622271987756,NA,9.47033952568663,NA,-0.356329134027697,NA
"k2o","brazil","arima","",NA,5,"ro",115.2,117.972950691969,NA,NA,NA,NA,90.0356686982226,NA,8.05196156378495,NA,-0.227708179883644,NA
"k2o","brazil","arima","",NA,1,"sa",100.03,87.7155739951709,NA,NA,NA,NA,151.64508782841,NA,13.1182064565163,NA,-Inf,NA
"k2o","brazil","arima","",NA,2,"sa",101.39,88.4315832207522,NA,NA,NA,NA,159.78282662655,NA,13.3857330347211,NA,-344.551095645653,NA
"k2o","brazil","arima","",NA,3,"sa",108.14,94.3001110914735,NA,NA,NA,NA,170.369392751152,NA,13.4815119769507,NA,-12.5471605998043,NA
"k2o","brazil","arima","",NA,4,"sa",122.8,94.4316395274915,NA,NA,NA,NA,328.968013537909,NA,16.6406525496708,NA,-3.03344546181506,NA
"k2o","brazil","arima","",NA,5,"sa",115.2,94.2769218702411,NA,NA,NA,NA,350.729450515126,NA,17.307821940643,NA,-3.78247589593364,NA
"k2o","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",30,1,"ro",100.03,96.4356264750163,95.8962631225586,2.21283811943942,0.475225032612647,-0.680330676987396,12.9195210371039,17.087780571919,3.65903551626198,4.21968633664555,-Inf,-Inf
"k2o","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",30,2,"ro",101.39,102.904437510173,102.789405822754,4.06416982681862,-0.148843994962071,-1.10284682225608,7.60652100466074,9.52305861433829,2.57081915068463,2.79522366353722,-15.4500886778995,-19.5948499445032
"k2o","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",30,3,"ro",108.14,104.788388315837,105.153770446777,2.58751330838664,-0.638609644200848,0.856664269387739,8.8154476302474,9.32122805773899,2.76324997903052,2.79685227213721,0.299027349469037,0.258809511224615
"k2o","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",30,4,"ro",122.8,112.458209228516,112.546169281006,3.71192595202167,-0.0243141204781516,-0.827177033378242,33.3497448129754,33.2761821467512,4.27040345651214,4.27609631481776,0.59110195723304,0.592003902072752
"k2o","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",30,5,"ro",115.2,127.904472351074,128.242794036865,3.70768565554599,-0.402492196823035,-0.595368924256784,58.9605193942221,60.6438409750184,5.50669522577511,5.56393395989974,0.196026274952254,0.173072842118372
"k2o","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",30,1,"sa",100.03,96.9036064147949,97.0860366821289,3.78036961934683,-0.0902218169507204,-0.389976691270491,9.77433684961147,8.66692001697059,3.1750737135439,2.98703582663703,-Inf,-Inf
"k2o","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",30,2,"sa",101.39,98.894504292806,98.8707046508789,5.43794859864123,-0.199895840665007,0.31068143537983,8.0009178371176,7.50688453653688,2.83351228358067,2.75152574541572,-16.3030230041471,-15.2346118869742
"k2o","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",30,3,"sa",108.14,101.155085754395,101.369251251221,7.43223602165624,-0.424900300570638,0.503601241561475,21.5969542308991,20.2856025640567,4.11390968651884,3.9888293432138,-0.717312028340459,-0.613038066059667
"k2o","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",30,4,"sa",122.8,102.804913838704,102.440048217773,8.13922276821409,0.011378626412381,-0.516044886609197,116.148583322583,118.84611106669,7.51687079631913,7.51123384893809,-0.424086710620982,-0.457160841204612
"k2o","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",30,5,"sa",115.2,104.050218454997,102.083114624023,8.9592303084028,0.235511804979849,-0.774734713023944,117.782392358325,129.487425246654,8.04766228096172,8.42369572297186,-0.60605689539834,-0.765664357980462
"k2o","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",60,1,"ro",100.03,97.42314453125,96.8480834960938,3.2114840712567,0.221237024397449,-0.991345107682972,6.79569543495177,10.124592637831,2.64048007433725,3.23237248900727,-Inf,-Inf
"k2o","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",60,2,"ro",101.39,102.616857528687,103.035903930664,4.07806129712294,-0.0925435891214382,-1.02084434541853,4.15043741532329,6.4167961934032,1.92162057091564,2.42132096521022,-7.97585946220435,-12.8771543974983
"k2o","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",60,3,"ro",108.14,104.588703918457,104.006637573242,2.8848695214363,0.17726183632084,-0.729638639818702,6.97085956314301,9.97275911257988,2.39401468492329,2.91311504952381,0.445702350078128,0.207002107951296
"k2o","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",60,4,"ro",122.8,112.321870295207,112.41423034668,3.05537433817112,0.0575371093869035,-0.463868708267018,32.6759451999751,34.4456221573922,4.02374475724799,4.3925619077426,0.599363350071816,0.577665509555325
"k2o","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",60,5,"ro",115.2,128.302230834961,128.10563659668,3.19669283781674,0.113960243530633,-0.431483125102028,60.4744467305003,60.8675889190253,5.37129326772042,5.63576553363257,0.17538266779776,0.170021860379011
"k2o","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",60,1,"sa",100.03,96.5744340260824,96.7291069030762,4.06638811162222,-0.0121276924763296,-0.587624713654225,11.9409362000974,10.8958952373194,3.51524724356849,3.35526334600599,-Inf,-Inf
"k2o","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",60,2,"sa",101.39,98.4384223937988,97.7999038696289,5.79211972758502,-0.0850300745264361,-0.417274632565889,10.3263732827628,11.8923427313124,3.23467957350694,3.47998011568352,-21.3321221513037,-24.71873428052
"k2o","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",60,3,"sa",108.14,99.9058169047038,99.7035522460938,7.03028165082897,0.020346640496642,-0.298350684712001,29.4848392707959,31.6527787223382,4.79503308802489,5.02601175241897,-1.3445282419027,-1.51691498019197
"k2o","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",60,4,"sa",122.8,101.531848907471,100.893333435059,8.13197378754252,0.048074101298179,-0.393058802584163,135.197192176761,143.715094038634,8.33660731809279,8.66609339923241,-0.657639888361529,-0.762077071294514
