"usa_n","usa_p2o5","usa_k2o","china_n","china_p2o5","china_k2o","germany_n","germany_p2o5","germany_k2o","japan_n","japan_p2o5","japan_k2o","india_n","india_p2o5","india_k2o","uk_n","uk_p2o5","uk_k2o","france_n","france_p2o5","france_k2o","italy_n","italy_p2o5","italy_k2o","brazil_n","brazil_p2o5","brazil_k2o","canada_n","canada_p2o5","canada_k2o"
12.96,13.63,9.97,5.17,1.41,0.34,55.14,60.09,103.49,84.31,75.54,74.39,1.55,0.38,0.17,54.44,44.44,45.41,26.27,40.69,34.92,22.28,25.43,8.16,1.58,4.59,2.14,2.41,5.36,2.76
15.18,15.04,10.99,7.71,1.49,0.22,64.99,64.77,107.91,87.65,75.32,81.01,2.05,0.51,0.22,58.89,40.6,45.31,28.82,43.64,38.4,24.18,24.18,8.63,1.42,4.3,2.03,2.97,6.03,2.87
16.85,16.28,11.88,9.29,2.32,0.29,65.42,70.94,112.09,91.34,84.31,90.03,2.33,0.72,0.31,63.1,44.14,45.11,33.5,49.57,39.04,24.33,23.72,8.49,1.72,4.43,2.68,3.62,6.42,2.79
18.34,17.45,12.68,11.94,3.74,0.33,70.96,78.35,115.93,88.62,84.74,87.24,3.42,0.92,0.43,63.85,43.45,43.63,37.18,53.8,41.9,26.26,26.05,8.86,1.38,3.85,2,4.08,7.07,3.1
20.69,18.98,14,17.53,6.94,0.45,81.46,80.59,119.37,92.01,91.27,91.89,3.54,0.82,0.48,74.08,40.28,43.93,38.14,55.15,42.49,30.18,29.58,10.95,1.89,3.24,2.82,5.17,8.78,3.55
23.69,21.16,15.97,25.66,9.5,0.57,83.63,79.33,112.43,99.48,102.33,92.88,4.53,1.53,0.7,81.79,42.36,45.99,44.08,60.72,45.61,31.15,30.33,11.35,1.88,3.27,2.6,6.5,9.76,4.01
26.91,22.61,17.28,18.88,6.39,0.73,85.84,81.36,117.76,104.53,112.83,99.85,6.32,2.04,1.04,98.04,44.96,50.61,51.46,68.36,52.61,31.53,30.53,11.73,2.77,5.91,3.76,7.52,10.4,4.11
27.4,22.73,17.21,20.77,4.52,0.8,92.34,84.89,111.62,105.17,119.55,102.29,7.34,2.32,1.03,92.69,43.19,49.22,57.96,74.01,56.57,33.8,30.75,11.76,3.7,7.77,4.98,5.67,8.09,4.16
27.71,21.9,17,25.6,7.46,0.69,100.78,89.85,118.77,102.89,122.06,104.57,8.24,2.53,1.28,76.06,45.49,47.67,57.99,78.66,59.77,36.69,32.41,12.97,4.15,7.45,5.34,6.31,7.37,4.31
30.14,22.44,17.8,32.86,9.26,0.87,106.01,96.1,123.37,94.99,113.16,94.8,8.96,3.28,1.43,88.99,54.24,55.75,68.48,85.25,65.43,39.82,34.72,15.09,6.93,11.54,8.03,6.81,8.45,4.54
