"dataset","country","model","obs","samples","test_size","strategy","true","pred","pred_median","std","skewness","kurtosis","mse","mse_median","smape","smape_median","r2","r2_median"
"gdp","brazil","arima","",NA,1,"ro",1881458.564748,1869256.80653704,NA,NA,NA,NA,148882903.438794,NA,0.650636318840807,NA,-Inf,NA
"gdp","brazil","arima","",NA,2,"ro",1476107.292037,1901248.98734042,NA,NA,NA,NA,90447171994.4523,NA,12.913320731118,NA,-1.20187115324781,NA
"gdp","brazil","arima","",NA,3,"ro",1649622.886218,1314984.83993044,NA,NA,NA,NA,97625655337.3536,NA,16.1340592451497,NA,-2.54050955071354,NA
"gdp","brazil","arima","",NA,4,"ro",1920095.477164,1788374.10329238,NA,NA,NA,NA,77556871586.6718,NA,13.8764977080349,NA,-1.38664598799465,NA
"gdp","brazil","arima","",NA,5,"ro",2136919.783907,1876474.43779396,NA,NA,NA,NA,75611852931.7259,NA,13.6969595766056,NA,-0.447013260138954,NA
"gdp","brazil","arima","",NA,1,"sa",1881458.564748,1869256.80653704,NA,NA,NA,NA,148882903.438794,NA,0.650636318840807,NA,-Inf,NA
"gdp","brazil","arima","",NA,2,"sa",1476107.292037,1884512.00903565,NA,NA,NA,NA,83471647885.0917,NA,12.4779805234166,NA,-1.03205705097684,NA
"gdp","brazil","arima","",NA,3,"sa",1649622.886218,1879630.79414624,NA,NA,NA,NA,73282311159.9037,NA,12.6634421042217,NA,-1.65766945853962,NA
"gdp","brazil","arima","",NA,4,"sa",1920095.477164,1881192.63895287,NA,NA,NA,NA,55340091075.1481,NA,10.0092875712766,NA,-0.702972330339047,NA
"gdp","brazil","arima","",NA,5,"sa",2136919.783907,1880692.89467706,NA,NA,NA,NA,57402516613.0089,NA,10.5584663039523,NA,-0.0985341515089153,NA
"gdp","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",30,1,"ro",1881458.564748,1895882.2375,1918625.875,124260.70512346,0.0189812463126644,-1.18984876255837,208042335.656792,1381408951.36843,0.763694541060009,1.9561307566347,-Inf,-Inf
"gdp","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",30,2,"ro",1476107.292037,1837418.28333333,1839215.5625,112368.448549402,-0.0253696625121226,-1.00032087582094,65376837383.598,66614512514.9998,11.285972893763,11.9304910211499,-0.591551942987749,-0.621682251197861
"gdp","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",30,3,"ro",1649622.886218,1363795.2375,1357101,136054.513050326,0.052974799841454,-1.35766137354533,70817039846.2854,72932692982.1787,13.8474245444634,14.4396101125017,-1.56826348630001,-1.64499014291238
"gdp","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",30,4,"ro",1920095.477164,1618306.5,1618513.125,94446.5986057125,-0.127036868096033,-1.05010494430175,75881926569.1374,77437498520.8268,14.6500496503273,15.09102023675,-1.33510315594859,-1.3829725385266
"gdp","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",30,5,"ro",2136919.783907,1954891.5375,1962087.9375,122012.521722428,0.167285111182767,-1.09825679965237,67332397753.3114,68063233720.2776,13.4994790160543,13.7789056460648,-0.288566125657146,-0.302552416088904
"gdp","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",30,1,"sa",1881458.564748,1937870.38333333,1930289.3125,111009.871172703,-0.258605633403686,-0.884175419387602,3182293276.10457,2384441926.01946,2.95401728168359,2.56211844668252,-Inf,-Inf
"gdp","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",30,2,"sa",1476107.292037,1920958.50416667,1915710.0625,177331.478412712,-0.22293957903045,-0.284780772707884,100537447104.669,97817518862.3823,14.5721689591024,14.2417444405147,-1.44751162164061,-1.38129693074941
"gdp","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",30,3,"sa",1649622.886218,1929317.27916667,1962363.5,253967.048462176,-0.766487275492459,1.98650710187547,93101282552.0871,97813909744.5022,14.9247833859326,15.2667700574112,-2.37642783467414,-2.547336818855
"gdp","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",30,4,"sa",1920095.477164,1937287.21666667,1968195.1875,326076.50397556,-0.939512093620165,2.37197364839607,69899850890.8472,73938827841.9785,11.4164295656005,12.0685975366011,-1.15101763747178,-1.27530846997716
"gdp","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",30,5,"sa",2136919.783907,1927956.51666667,1997353.625,391062.489517288,-0.906733776976789,1.92564528809856,64653010123.8288,63046804815.9936,11.1894253377149,11.0052111601891,-0.237289648774421,-0.206551076859753
"gdp","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",60,1,"ro",1881458.564748,1919208.98958333,1933205.125,124269.934492775,-0.403305703201209,-0.843964482739573,1425094575.24815,2677706497.91388,1.98651548948616,2.71303393749075,-Inf,-Inf
"gdp","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",60,2,"ro",1476107.292037,1844108.175,1833224.625,95915.1045071344,-0.0373195281891671,-0.720482507491209,68424872218.3979,65105248000.2601,12.0769023640909,12.1477383365538,-0.665754152176247,-0.584940295376071
"gdp","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",60,3,"ro",1649622.886218,1372720.86458333,1363186.625,128263.861824111,-0.0782695568145356,-1.09997256149566,71174824674.0538,70752075913.6888,14.159155464606,14.4366794468819,-1.58123897512451,-1.56590749265248
"gdp","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",60,4,"ro",1920095.477164,1629778.72083333,1618513.125,108497.657059286,-0.0441788594877831,-0.973351649108426,74452073257.1302,75802035719.4593,14.7084799041379,15.0888222375352,-1.29110249423147,-1.33264468680251
