"usa_gdp","china_gdp","germany_gdp","japan_gdp","india_gdp","uk_gdp","france_gdp","brazil_gdp","italy_gdp","canada_gdp"
1073303,96584.138105,215835.185577,212609.187709,62422.483,130682.295637,148450.958499,35379.865756,113400.387999,89228.310508
1164850,104464.337801,249984.80096,240151.811888,66898.484438,148106.601857,165974.625959,39519.786511,124676.71046,100781.184313
1279110,119647.196422,299796.651352,318031.297494,72744.178924,169969.084028,203484.660985,50865.277881,145256.807952,114779.446524
1425376,146911.405286,398380.237089,432082.723461,86851.358251,192551.676951,264421.351011,72012.177563,175496.590226,133068.911057
1545243,153959.856112,445304.976875,479625.998616,97977.985187,206152.361031,285543.957372,92323.575735,199579.758693,161861.559076
1684904,173929.916844,490625.926087,521541.905673,101735.373664,241734.621312,360848.29241,108563.231342,227717.153223,175041.578339
1873412,167264.807148,519741.148215,586161.859003,102463.676507,232610.445457,372322.045575,128345.434668,224735.495079,208926.751544
2081826,191228.096558,600491.418062,721411.786539,119039.438267,263079.306617,410285.602701,149375.89005,257587.527902,214000.658352
2351599,237566.198306,740474.558641,1013612.334076,137524.183976,335880.0784,506694.842988,169602.612158,315059.736628,220960.396386
2627333,287076.894538,881309.093733,1055012.119531,152061.725542,439011.580878,613970.509876,186976.059338,393673.271614,245489.894891
2857307,336047.845174,950333.588797,1105385.811263,187032.815265,564954.276868,701305.015186,176173.672361,477237.116665,276036.947971
3207041,321700.119632,800458.442374,1218988.750886,199543.85866,540720.761152,615551.683162,224381.525141,430710.094442,307244.507348
3343789,317358.772092,776578.55617,1134518.153718,204391.186466,515006.780277,584871.786075,245733.812312,427264.619954,314639.306341
3634038,335791.782584,770707.78632,1243323.766555,222870.09288,489599.76428,559889.213926,173009.235234,443031.246938,341861.654209
4037613,348538.559282,725107.701028,1318381.627007,221946.226842,461483.005638,530696.842618,175885.259125,437890.322036,356727.581683
4338979,346900.408065,732522.109728,1398892.549341,230042.716847,489256.281229,553142.969026,188347.147146,452197.759326,366190.482114
4579631,343123.749073,1046295.374404,2078952.922458,252454.324684,601455.004222,771488.415239,226408.111204,640353.823788,379006.83706
4855215,379670.167134,1298187.736271,2532808.573157,279184.279235,745130.338366,934146.209719,248287.203764,805756.10841,433136.960388
5236438,469841.200196,1401165.212763,3071683.81215,308515.067299,910171.030658,1018813.494769,277346.060581,891563.195347,509376.578529
5641580,527782.891192,1399040.146029,3054913.797217,304013.813794,926926.143222,1025162.972813,377262.508482,928625.859123,567215.985473
5963144,474740.977636,1771646.896836,3132817.652848,329139.432439,1093213.710428,1269138.608283,408823.13762,1181283.986443,596088.363223
6158129,506100.809303,1868922.773256,3584420.96407,291200.362702,1142766.274398,1269224.971748,380373.414915,1246174.807721,612518.801914
6520327,602324.015295,2131681.240867,3908808.434705,293692.987227,1179713.014952,1401401.633694,364362.751296,1320193.80435,594375.064634
6858559,745135.710053,2071251.45928,4454144.444408,287273.815813,1061457.883634,1322886.326148,408861.897413,1064917.987224,579065.157107
7287236,706445.437002,2205017.031735,4998797.262443,327525.496496,1140443.311075,1393976.485635,583242.23274,1099271.683485,579928.067827
7639749,886183.404193,2585619.317335,5545564.892181,371782.719797,1344307.805796,1600996.702405,781735.866412,1174698.698393,605943.061298
