"dataset","country","model","obs","samples","test_size","strategy","true","pred","pred_median","std","skewness","kurtosis","mse","mse_median","smape","smape_median","r2","r2_median"
"pest","brazil","arima","",NA,1,"ro",549280,532017.930370343,NA,NA,NA,NA,297979047.899133,NA,3.19284244329312,NA,-Inf,NA
"pest","brazil","arima","",NA,2,"ro",620538,567071.432857116,NA,NA,NA,NA,1578326424.97184,NA,6.0984541007772,NA,-0.243339014113897,NA
"pest","brazil","arima","",NA,3,"ro",685746,640173.107586176,NA,NA,NA,NA,1744513790.96855,NA,6.35702232914106,NA,0.438315682024762,NA
"pest","brazil","arima","",NA,4,"ro",719507,706900.204,NA,NA,NA,NA,1348118169.57282,NA,5.20967407754816,NA,0.682163110651796,NA
"pest","brazil","arima","",NA,5,"ro",800652.17,741067.87483871,NA,NA,NA,NA,1788552181.63181,NA,5.71365663817341,NA,0.756037816320809,NA
"pest","brazil","arima","",NA,1,"sa",549280,532017.930370343,NA,NA,NA,NA,297979047.899133,NA,3.19284244329312,NA,-Inf,NA
"pest","brazil","arima","",NA,2,"sa",620538,549192.860740686,NA,NA,NA,NA,2694053971.91505,NA,7.69569941065988,NA,-1.12226213564805,NA
"pest","brazil","arima","",NA,3,"sa",685746,566367.791111029,NA,NA,NA,NA,6546421567.123,NA,11.4865557248789,NA,-1.10776340785841,NA
"pest","brazil","arima","",NA,4,"sa",719507,583542.721481371,NA,NA,NA,NA,9531387433.61506,NA,13.8320729879776,NA,-1.24715206830327,NA
"pest","brazil","arima","",NA,5,"sa",800652.17,600717.651851714,NA,NA,NA,NA,15619872256.3295,NA,16.7724893790529,NA,-1.13058259276923,NA
"pest","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",30,1,"ro",549280,528355.659375,527216.0625,7611.89263663168,-0.127987290324741,-0.877720833248631,437828030.591023,486817338.003906,3.88337940434071,4.09921378602349,-Inf,-Inf
"pest","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",30,2,"ro",620538,566295.547916667,566608.25,8333.70558084207,-0.144073760223505,-0.818721553600765,1690035819.30187,1697617636.5332,6.51204012566056,6.59241280256164,-0.331338965211484,-0.337311601170976
"pest","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",30,3,"ro",685746,649267.383333333,649529.4375,16783.416390896,0.116195125340365,-1.3867680731164,1570253704.17245,1568958224.1276,6.16299558806031,6.20313621704041,0.494422523087929,0.494839631183724
"pest","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",30,4,"ro",719507,728617.783333333,727585.71875,25198.1420656847,0.342860180472366,-1.06373746570497,1198441871.36607,1193035092.2561,4.93681845441088,4.93148834546314,0.717451299851309,0.718726020341316
"pest","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",30,5,"ro",800652.17,754875.354166667,755380.375,19028.1948786053,0.440163177576654,-0.0546787427532047,1377856870.66064,1364335158.30929,5.12659409721828,5.10896569240014,0.812057498564531,0.813901887845535
"pest","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",30,1,"sa",549280,529495.266666667,529015.4375,6443.41655586233,0.0812497088564693,0.597850098212164,391435673.071109,410652493.316406,3.66799906239352,3.75862899818678,-Inf,-Inf
"pest","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",30,2,"sa",620538,541311.122916667,541611,9392.48929881259,0.518943871730981,0.573224248590347,3334166862.72436,3320061911.1582,8.65303270173829,8.67078443969481,-1.62651608336652,-1.61540479719852
"pest","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",30,3,"sa",685746,553126.985416667,551507.5625,12885.6498224222,0.00503286793786571,0.584431506865323,8085378918.16769,8220027308.2526,12.9052292940147,13.0136637143754,-1.60326434031857,-1.64661733044272
"pest","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",30,4,"sa",719507,565482.684375,564103.125,17387.4505042615,-0.433522571593411,1.20178167356774,11994906639.5632,12202611572.4434,15.6721341144636,15.8136386080143,-1.8279596702928,-1.87692888624056
"pest","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",30,5,"sa",800652.17,577718.40625,575799.0625,23389.1408106148,-0.623792722619265,1.91318488731858,19535817915.5987,19873873248.436,19.0071943102655,19.1851956381235,-1.66472560744647,-1.71083704777813
"pest","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",60,1,"ro",549280,528745.520833333,529015.4375,7747.01739114962,0.271342990807336,0.0814336724896254,421664834.646266,410652493.316406,3.80964620407003,3.75862899818678,-Inf,-Inf
"pest","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",60,2,"ro",620538,567890.303125,566608.25,8583.80928333157,0.178230885405191,-0.684995408579494,1596722410.44408,1659535214.18945,6.33485028470659,6.42212040864329,-0.25783059587976,-0.307311874433339
"pest","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",60,3,"ro",685746,648383.00625,648546.8125,15263.0048383123,0.0193063202974471,-0.957372747399259,1529812707.6169,1567616659.67969,6.09026904843628,6.14003549902322,0.50744338522507,0.495271577159645
